t,Ax,Ay,Az,Bx,By,Bz,h
918.5447692871094,80
935.4994297027588,-6,0,16,24,-95,-98,179.78
951.4656066894531,-5,-3,13,-6,-107,-101,180.04
968.421220779419,-4,-3,11,-42,-105,-100,180.48
981.4286231994629,-3,-4,9,-83,-98,-101,180.30
997.4908828735352,0,-1,6,-126,-86,-99,180.39
1013.5152339935303,0,0,6,-146,-76,-98,180.66
1029.5062065124512,2,0,6,-167,-64,-96,179.60
1045.4597473144531,2,-1,7,-179,-64,-96,180.39
1059.391736984253,2,-3,9,-203,-66,-92,180.30
1075.3483772277832,2,-3,9,-218,-69,-90,180.66
1091.3317203521729,2,-2,7,-242,-50,-85,179.95
1107.2940826416016,2,-1,5,-261,-52,-81,180.30
1120.2290058135986,3,0,2,-292,-40,-74,180.30
1137.1829509735107,3,-1,2,-306,-28,-68,180.56
1153.1398296356201,2,-3,0,-328,-23,-57,179.86
1169.137954711914,2,-3,0,-342,-9,-51,179.60
1185.0953102111816,2,-3,-4,-354,7,-39,181.36
1198.0204582214355,2,-3,-5,-350,9,-32,179.60
1214.9755954742432,1,-6,-8,-350,29,-18,181.09
1230.9339046478271,0,-8,-11,-335,57,-6,179.95
1246.9351291656494,0,-8,-14,-316,65,0,180.30
1262.8846168518066,0,-6,-17,-280,72,10,180.04
1275.8126258850098,-1,-5,-18,-258,69,14,180.21
1292.7672863006592,0,-4,-19,-251,79,16,179.34
1308.725118637085,-1,-6,-19,-237,79,18,180.74
1324.7184753417969,-1,-12,-17,-230,81,20,179.69
1340.6927585601807,-1,-13,-17,-227,84,20,179.95
1353.6205291748047,-1,-10,-17,-227,86,20,180.39
1370.5742359161377,-1,-7,-18,-227,86,17,179.69
1386.5947723388672,-1,-6,-16,-249,84,14,180.48
1402.5869369506836,-1,-7,-14,-254,84,12,180.39
1418.5447692871094,0,-8,-11,-282,79,7,180.39
1431.5543174743652,1,-5,-9,-309,69,0,179.69
1447.669267654419,1,-4,-8,-314,65,-3,180.74
1463.625431060791,1,-4,-6,-328,45,-14,180.74
1480.5409908294678,1,-4,-5,-338,45,-19,180.74
1496.762752532959,3,-4,-3,-345,24,-29,180.39
1509.78422164917,3,-4,-2,-352,17,-34,180.04
1525.7902145385742,4,-4,-1,-345,2,-44,180.21
1541.7773723602295,3,-4,-1,-347,-2,-48,179.51
1557.739019393921,2,-1,0,-330,-23,-57,180.83
1573.6932754516602,2,-1,0,-326,-33,-63,180.48
1587.6867771148682,2,0,3,-302,-50,-74,180.48
