t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz
779.4291973114014,3.25,-1.56,9.07,-0.06,0.00,0.06,-7.38,-6.25,-53.56
1098.8743305206299,3.25,-1.56,9.06,-0.06,-0.06,0.00,-6.56,-5.56,-51.69
1415.555477142334,3.23,-1.55,9.06,-0.06,-0.13,-0.06,-5.88,-6.69,-52.06
1732.6383590698242,3.25,-1.54,9.10,0.00,0.19,0.06,-5.88,-6.25,-51.69
2051.1553287506104,3.25,-1.56,9.06,-0.13,-0.06,0.06,-6.56,-6.69,-51.25
2367.802381515503,3.25,-1.56,9.07,0.00,0.00,-0.06,-6.56,-5.56,-52.06
2684.9255561828613,3.26,-1.56,9.11,0.00,0.06,-0.06,-6.25,-6.25,-51.69
3003.2052993774414,3.24,-1.56,9.07,0.00,0.06,0.00,-6.56,-6.69,-52.06
3319.767713546753,3.25,-1.53,9.07,-0.06,0.06,0.06,-6.25,-7.06,-52.88
3636.640787124634,3.25,-1.55,9.09,0.00,-0.13,0.00,-7.00,-7.06,-52.88
3955.7511806488037,3.24,-1.55,9.08,0.00,0.00,0.00,-6.56,-5.56,-51.69
4272.207736968994,3.25,-1.55,9.06,0.13,-0.13,0.06,-6.25,-5.56,-52.06
4589.182138442993,3.24,-1.57,9.07,0.00,0.06,0.13,-5.88,-6.25,-51.69
4908.303499221802,3.25,-1.54,9.09,0.06,0.06,-0.06,-7.00,-7.38,-51.25
5224.974870681763,3.25,-1.55,9.07,0.00,0.00,-0.06,-6.56,-7.06,-53.25
5542.17267036438,3.24,-1.57,9.08,0.00,-0.19,0.00,-6.56,-6.25,-51.69
5860.733270645142,3.26,-1.55,9.08,0.06,0.06,0.00,-6.25,-7.38,-52.50
6177.765130996704,3.25,-1.57,9.08,-0.06,0.00,0.00,-7.00,-7.06,-51.69
6494.7755336761475,3.24,-1.57,9.08,0.00,0.13,0.06,-6.56,-5.56,-52.88
6812.9589557647705,3.24,-1.56,9.06,0.06,0.00,0.00,-6.25,-6.69,-52.06
7129.167318344116,3.25,-1.56,9.10,0.13,0.06,0.00,-5.88,-6.69,-52.88
7447.106838226318,3.25,-1.56,9.07,0.00,0.31,-0.06,-5.88,-5.88,-52.50
7766.253471374512,3.26,-1.55,9.08,0.06,-0.25,-0.06,-5.88,-5.25,-51.69
8082.409143447876,3.26,-1.56,9.11,-0.13,0.06,0.00,-6.25,-7.06,-52.06
8399.976015090942,3.25,-1.55,9.07,0.06,0.31,0.06,-7.00,-5.56,-50.56
8718.237400054932,3.25,-1.57,9.08,-0.06,0.06,0.00,-6.25,-5.56,-52.50
9034.865856170654,3.23,-1.55,9.07,0.00,0.06,0.00,-5.88,-5.56,-52.06
9351.244449615479,3.24,-1.56,9.08,0.00,0.00,0.00,-6.56,-6.25,-52.06
9678.385496139526,3.26,-1.55,9.08,0.06,0.00,0.00,-6.56,-6.69,-51.69
9987.788915634155,3.24,-1.57,9.10,-0.06,-0.06,-0.06,-6.56,-6.69,-52.06
10304.455518722534,3.23,-1.59,9.11,-0.06,-0.13,0.00,-7.00,-5.56,-52.06
10623.538494110107,3.23,-1.56,9.08,0.06,0.00,-0.13,-6.25,-5.88,-52.06
10940.489292144775,3.24,-1.55,9.09,0.00,-0.13,-0.06,-5.88,-5.56,-52.06
11257.081508636475,3.27,-1.56,9.11,-0.06,-0.06,-0.13,-6.25,-7.06,-51.25
11576.28059387207,3.25,-1.54,9.09,0.06,0.06,0.00,-6.56,-5.88,-51.25
11893.413305282593,3.25,-1.56,9.10,0.06,-0.06,0.00,-6.56,-6.25,-52.06
12209.997653961182,3.26,-1.55,9.06,0.06,0.19,0.00,-6.56,-7.06,-51.25
12528.669118881226,3.24,-1.56,9.07,-0.19,0.13,0.06,-6.56,-5.88,-51.69
12845.115661621094,3.25,-1.56,9.09,0.00,0.06,0.00,-6.25,-5.88,-50.88
13162.163257598877,3.24,-1.57,9.09,0.00,0.00,0.00,-7.00,-7.75,-52.06
13480.560302734375,3.25,-1.54,9.09,0.06,-0.06,0.13,-7.00,-7.06,-52.06
13798.017978668213,3.26,-1.57,9.07,-0.06,0.13,-0.13,-5.19,-6.25,-52.06
14115.349769592285,3.23,-1.55,9.06,-0.06,-0.06,0.06,-6.56,-5.56,-51.69
14433.617353439331,3.24,-1.55,9.09,-0.06,0.06,0.06,-6.56,-5.56,-51.69
14750.39267539978,3.24,-1.55,9.11,0.00,0.00,-0.06,-7.00,-6.25,-52.06
15067.498683929443,3.25,-1.54,9.12,0.06,-0.13,0.00,-6.56,-7.38,-51.75
15386.183023452759,3.25,-1.58,9.07,-0.06,-0.19,-0.13,-6.56,-5.56,-51.75
15704.710483551025,3.23,-1.56,9.09,0.06,-0.06,-0.06,-6.25,-6.25,-51.75
16022.324323654175,3.26,-1.54,9.08,-0.06,0.06,-0.19,-6.56,-6.25,-52.06
16340.058088302612,3.25,-1.57,9.09,-0.13,0.13,-0.06,-6.56,-7.06,-51.75
16658.071517944336,3.24,-1.54,9.08,-0.19,0.00,-0.06,-6.56,-5.56,-51.69
16977.070569992065,3.23,-1.56,9.10,0.06,0.06,0.06,-7.00,-6.69,-52.50
17294.608116149902,3.24,-1.55,9.06,-0.06,-0.13,-0.13,-7.38,-6.25,-51.75
17612.757444381714,3.24,-1.58,9.10,-0.06,-0.06,-0.13,-7.00,-5.88,-51.75
17931.797981262207,3.23,-1.55,9.08,0.00,-0.06,0.13,-6.25,-5.56,-52.50
18252.012968063354,3.25,-1.55,9.10,-0.06,0.13,-0.06,-5.88,-6.25,-50.88
18570.85919380188,3.24,-1.56,9.10,0.00,0.00,-0.06,-6.56,-6.69,-52.06
18887.97378540039,3.23,-1.56,9.07,-0.06,-0.06,0.06,-7.00,-6.69,-52.50
19206.79521560669,3.25,-1.58,9.11,-0.06,0.00,-0.13,-6.56,-6.69,-52.06
19526.591777801514,3.23,-1.56,9.10,-0.06,-0.19,0.00,-6.25,-6.25,-51.75
19845.973014831543,3.23,-1.56,9.10,-0.06,0.06,0.00,-6.56,-5.88,-52.88
20162.57357597351,3.25,-1.57,9.09,0.00,-0.13,0.13,-6.56,-7.38,-53.25
20480.373859405518,3.23,-1.55,9.10,0.00,-0.06,0.00,-7.00,-6.25,-52.88
20799.549102783203,3.24,-1.57,9.08,-0.06,0.00,0.13,-6.25,-6.25,-52.88
21116.34588241577,3.24,-1.54,9.08,0.00,-0.06,0.06,-7.00,-5.88,-52.06
21433.688402175903,3.24,-1.56,9.11,0.00,0.13,-0.06,-7.00,-5.56,-51.75
21752.4254322052,3.24,-1.55,9.07,0.00,-0.13,0.13,-5.88,-5.56,-51.75
22068.90082359314,3.25,-1.57,9.10,0.06,0.13,0.06,-7.00,-7.06,-52.06
22385.724782943726,3.24,-1.55,9.10,-0.06,0.06,0.00,-6.25,-6.69,-51.75
22705.177068710327,3.23,-1.55,9.07,-0.06,0.13,-0.06,-6.56,-5.88,-52.50
23022.21131324768,3.25,-1.55,9.11,0.00,0.06,0.00,-5.88,-5.56,-52.06
23338.775873184204,3.23,-1.56,9.09,-0.06,0.00,0.19,-6.56,-5.25,-52.88
23657.74893760681,3.24,-1.57,9.08,0.13,-0.13,0.06,-6.25,-6.25,-52.06
23974.25389289856,3.25,-1.55,9.10,-0.13,0.06,0.00,-6.25,-5.88,-52.50
24291.40543937683,3.26,-1.55,9.11,0.06,-0.06,0.06,-7.00,-6.69,-51.75
24610.551834106445,3.24,-1.55,9.09,-0.19,0.06,0.00,-6.56,-6.25,-52.06
24927.706480026245,3.24,-1.56,9.09,0.00,0.06,0.13,-5.88,-5.88,-52.88
25243.85905265808,3.27,-1.54,9.08,0.00,0.19,-0.06,-5.88,-5.56,-52.06
25562.010526657104,3.23,-1.56,9.06,-0.06,0.06,0.00,-6.25,-6.69,-52.50
25879.162311553955,3.23,-1.54,9.09,-0.06,0.13,0.19,-7.00,-6.69,-52.50
26196.313858032227,3.24,-1.55,9.09,-0.13,0.06,-0.13,-6.56,-5.56,-52.88
26515.471696853638,3.23,-1.54,9.06,-0.13,-0.19,-0.06,-6.25,-6.25,-52.50
26833.61005783081,3.23,-1.58,9.09,0.00,0.13,0.06,-5.88,-5.56,-52.88
27150.76470375061,3.23,-1.56,9.08,0.00,-0.19,0.00,-6.56,-6.25,-53.25
27468.913078308105,3.25,-1.55,9.06,-0.06,0.06,-0.06,-5.56,-7.06,-51.38
27786.065816879272,3.24,-1.56,9.12,0.06,0.00,0.06,-5.88,-6.25,-52.06
28104.214906692505,3.23,-1.56,9.08,0.00,0.19,0.00,-6.56,-7.06,-52.06
28421.367645263672,3.23,-1.57,9.10,-0.13,-0.13,-0.06,-6.56,-6.25,-51.38
28740.514993667603,3.23,-1.55,9.07,0.06,-0.06,0.00,-6.25,-5.88,-51.75
29059.66067314148,3.21,-1.56,9.09,0.00,0.13,0.00,-6.56,-6.69,-52.50
29377.812147140503,3.23,-1.56,9.09,0.06,-0.13,0.00,-6.56,-6.25,-51.75
29694.963693618774,3.23,-1.56,9.10,0.06,0.00,0.06,-6.56,-5.88,-52.88
30014.110565185547,3.23,-1.55,9.11,0.00,-0.06,0.13,-6.56,-5.88,-52.06
30333.256721496582,3.23,-1.56,9.08,0.13,0.13,-0.06,-6.56,-7.38,-52.88
30652.405500411987,3.24,-1.55,9.10,-0.06,0.00,-0.13,-5.88,-5.88,-51.75
30970.553159713745,3.23,-1.56,9.07,0.19,-0.13,0.00,-7.38,-7.06,-52.06
31288.702964782715,3.25,-1.54,9.09,-0.06,0.13,0.06,-6.25,-6.69,-52.06
31607.851266860962,3.24,-1.54,9.08,-0.06,0.06,0.13,-6.56,-6.25,-51.75
31927.9944896698,3.23,-1.55,9.05,0.00,0.00,0.00,-6.25,-6.25,-52.06
32244.149684906006,3.25,-1.57,9.09,0.00,-0.06,0.06,-7.00,-7.75,-52.06
32562.299966812134,3.25,-1.55,9.09,-0.06,0.06,-0.13,-5.88,-6.25,-52.06
32881.44755363464,3.24,-1.56,9.06,-0.06,0.00,-0.06,-7.00,-5.25,-51.75
33198.60076904297,3.24,-1.56,9.10,0.00,0.25,0.00,-7.00,-5.56,-51.75
33514.76502418518,3.24,-1.57,9.11,0.13,-0.25,0.19,-7.00,-6.25,-52.56
33833.906173706055,3.25,-1.56,9.07,0.13,-0.13,0.13,-5.88,-6.69,-52.06
34150.054931640625,3.23,-1.53,9.08,0.06,-0.06,0.06,-6.25,-5.88,-51.75
34467.20767021179,3.24,-1.56,9.11,-0.06,-0.06,0.00,-6.25,-5.56,-51.75
34786.354541778564,3.23,-1.54,9.09,0.13,0.06,0.00,-7.38,-7.75,-52.50
35102.50973701477,3.22,-1.55,9.11,-0.06,-0.25,0.06,-6.25,-7.06,-52.06
35419.66199874878,3.23,-1.56,9.12,0.00,0.06,-0.06,-6.56,-7.38,-52.50
35738.80887031555,3.24,-1.57,9.10,0.06,-0.06,-0.13,-7.00,-5.88,-51.75
36056.95915222168,3.24,-1.55,9.08,-0.06,0.13,0.00,-6.56,-6.25,-52.50
36373.11387062073,3.24,-1.56,9.10,0.06,-0.31,0.00,-7.00,-5.56,-51.75
36691.2636756897,3.23,-1.55,9.09,0.06,0.13,0.06,-6.25,-5.25,-52.06
37009.41324234009,3.24,-1.56,9.07,0.06,-0.06,0.06,-6.56,-5.25,-52.88
37326.5655040741,3.23,-1.55,9.09,0.00,-0.19,0.00,-6.25,-5.25,-51.75
37647.70793914795,3.23,-1.56,9.08,0.06,-0.13,0.13,-5.88,-5.88,-52.06
37962.86582946777,3.23,-1.57,9.09,-0.06,-0.06,-0.13,-6.56,-6.25,-52.88
38282.01150894165,3.24,-1.55,9.09,0.00,0.06,-0.06,-6.25,-7.75,-51.38
38599.17092323303,3.22,-1.57,9.09,-0.06,-0.19,0.06,-6.25,-6.69,-51.38
38917.314529418945,3.23,-1.54,9.09,-0.13,0.00,-0.06,-7.00,-6.25,-52.88
39237.4587059021,3.22,-1.55,9.11,-0.06,-0.13,0.13,-7.00,-6.25,-51.75
39556.604862213135,3.23,-1.56,9.08,0.00,-0.13,0.00,-6.25,-7.38,-51.38
39875.751972198486,3.23,-1.56,9.12,0.06,-0.13,0.00,-5.88,-6.69,-52.06
40193.901777267456,3.23,-1.57,9.10,0.00,0.06,0.00,-6.25,-6.69,-51.38
40512.05134391785,3.24,-1.57,9.11,0.06,-0.06,-0.06,-6.56,-6.69,-52.06
40831.20036125183,3.21,-1.55,9.10,-0.13,-0.06,0.06,-5.88,-5.25,-51.75
41151.34501457214,3.23,-1.55,9.08,0.00,-0.25,-0.06,-7.00,-7.38,-52.56
41467.49830245972,3.25,-1.54,9.09,-0.06,0.00,0.13,-6.25,-5.88,-52.50
41784.64984893799,3.22,-1.55,9.09,0.06,0.00,-0.13,-6.56,-7.06,-52.56
42103.79672050476,3.23,-1.55,9.07,-0.06,0.13,0.06,-7.00,-6.25,-52.06
42420.94969749451,3.23,-1.54,9.09,0.00,-0.13,0.06,-6.56,-7.75,-51.75
42738.10172080994,3.24,-1.55,9.11,-0.06,-0.19,-0.06,-6.56,-6.25,-51.75
43057.24859237671,3.23,-1.53,9.06,0.06,-0.13,0.19,-6.56,-6.25,-52.56
43374.4010925293,3.24,-1.55,9.09,0.00,0.13,-0.06,-6.56,-7.06,-52.56
43691.55406951904,3.23,-1.57,9.12,0.00,0.06,-0.13,-6.56,-6.69,-51.38
44009.703397750854,3.24,-1.57,9.08,-0.13,0.19,0.06,-5.56,-6.25,-51.38
44326.855182647705,3.23,-1.55,9.08,0.06,-0.13,-0.13,-6.56,-5.56,-51.38
44645.004987716675,3.23,-1.55,9.08,0.00,0.19,0.13,-6.25,-7.06,-52.06
44962.15796470642,3.22,-1.56,9.11,0.06,-0.13,0.06,-7.00,-6.25,-52.06
45281.30531311035,3.23,-1.53,9.09,0.00,0.13,0.25,-6.25,-6.69,-52.88
45599.454402923584,3.24,-1.54,9.10,0.00,0.00,-0.19,-7.00,-7.38,-52.06
45917.3948764801,3.23,-1.57,9.12,-0.06,-0.13,-0.06,-7.00,-6.69,-52.06
46234.886169433594,3.24,-1.55,9.09,0.00,-0.44,0.06,-5.88,-7.06,-51.00
