t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
852.3719311,-0.67,-0.35,9.58,-0.13,-0.13,-0.06,-8.06,33.69,-42.69,1,-0.02,0.04,0
1176.917315,-0.67,-0.37,9.56,0.06,-0.19,0,-7.75,33.25,-42.69,1,-0.02,0.04,0
1504.410267,-0.69,-0.37,9.58,-0.13,0.25,-0.13,-7.38,33.25,-42.69,1,-0.02,0.04,0
1828.67527,-0.69,-0.33,9.58,0.06,-0.06,-0.13,-7.75,32.88,-43.06,1,-0.02,0.04,0
2156.31032,-0.68,-0.36,9.59,-0.06,0.06,0.06,-7.75,32.88,-41.88,1,-0.02,0.04,0
2481.229544,-0.67,-0.34,9.59,-0.06,-0.06,-0.06,-6.56,32.88,-42.25,1,-0.02,0.04,0
2807.413101,-0.67,-0.35,9.57,0.06,0.13,-0.06,-7.38,32.88,-41.88,1,-0.02,0.04,0
3131.722927,-0.66,-0.37,9.6,0.06,-0.19,0.13,-7.75,32.88,-43.06,1,-0.02,0.04,0
3459.15246,-0.67,-0.33,9.58,-0.06,-0.25,-0.06,-7,32.56,-41.5,1,-0.02,0.04,0
3783.903599,-0.65,-0.34,9.59,-0.06,-0.06,0,-6.56,32.88,-42.25,1,-0.02,0.04,0
4110.127687,-0.66,-0.35,9.61,-0.06,-0.25,0,-8.06,33.25,-42.25,1,-0.02,0.04,0
4435.767412,-0.69,-0.37,9.56,-0.13,-0.13,0,-7.38,32.88,-42.25,1,-0.02,0.04,0
4762.350559,-0.67,-0.35,9.57,0,0,-0.06,-7.75,33.25,-41.88,1,-0.02,0.04,0
5086.833954,-0.67,-0.35,9.56,-0.06,-0.19,0.06,-7.38,33.69,-41.88,1,-0.02,0.04,0
5413.297892,-0.67,-0.35,9.59,0,-0.13,-0.06,-7.38,32.56,-42.25,1,-0.02,0.04,0
5738.148451,-0.67,-0.33,9.56,-0.06,0.06,-0.06,-7.75,32.56,-41.5,1,-0.02,0.04,0
6064.935446,-0.68,-0.35,9.59,0,0.06,-0.06,-6.56,33.25,-41.88,1,-0.02,0.04,0
6390.124798,-0.67,-0.37,9.55,-0.06,0,-0.06,-7,32.88,-41.5,1,-0.02,0.04,0
6716.176033,-0.69,-0.36,9.57,0.06,0,-0.06,-7.38,32.88,-41.5,1,-0.02,0.04,0
7040.876389,-0.68,-0.35,9.58,-0.06,0.19,0,-7.75,33.25,-41.88,1,-0.02,0.04,0
7366.986275,-0.67,-0.35,9.57,0,0.19,0,-7,33.25,-41.88,1,-0.02,0.04,0
7692.367315,-0.68,-0.38,9.58,-0.06,-0.19,0.13,-8.06,32.56,-42.25,1,-0.02,0.04,0
8019.182444,-0.69,-0.36,9.56,-0.06,0.13,0,-8.06,33.25,-41.88,1,-0.02,0.04,0
8344.559193,-0.7,-0.33,9.55,0,0.06,-0.06,-7.75,32.88,-42.69,1,-0.02,0.04,0
8670.204878,-0.68,-0.36,9.56,0,0.19,0.06,-7,33.25,-41.88,1,-0.02,0.04,0
8994.948626,-0.67,-0.36,9.6,-0.06,-0.31,0,-7,33.25,-43.38,1,-0.02,0.04,0
9322.429657,-0.66,-0.34,9.57,-0.06,0.06,0.06,-7.75,33.69,-42.25,1,-0.02,0.04,0
9647.091866,-0.68,-0.35,9.58,0.13,-0.13,-0.06,-7.75,33.25,-43.38,1,-0.02,0.04,0
9974.164009,-0.67,-0.36,9.6,0.06,-0.06,0,-8.06,32.88,-41.88,1,-0.02,0.04,0
10299.34907,-0.68,-0.36,9.58,-0.06,0.06,-0.06,-7.75,33.25,-41.06,1,-0.02,0.04,0
10626.07479,-0.65,-0.35,9.56,0,-0.19,0.06,-7.75,33.25,-42.25,1,-0.02,0.04,0
10950.04082,-0.66,-0.35,9.61,-0.13,-0.13,0,-8.06,34.06,-41.88,1,-0.02,0.04,0
11276.59273,-0.68,-0.34,9.55,0.06,-0.06,0,-8.06,32.88,-41.06,1,-0.02,0.04,0
11601.79472,-0.69,-0.34,9.57,0,0.13,-0.06,-7.38,33.69,-41.88,1,-0.02,0.04,0
11927.97971,-0.67,-0.36,9.56,-0.06,-0.06,-0.13,-7.38,33.25,-42.25,1,-0.02,0.04,0
12253.45492,-0.67,-0.36,9.59,0.06,-0.06,0.06,-7,33.25,-41.06,1,-0.02,0.04,0
12579.97584,-0.67,-0.33,9.57,0,-0.25,-0.06,-7,32.56,-42.25,1,-0.02,0.04,0
12904.95467,-0.67,-0.34,9.58,0,-0.13,-0.13,-8.06,33.25,-42.69,1,-0.02,0.04,0
13231.2758,-0.66,-0.33,9.59,-0.06,-0.06,0,-8.06,33.25,-41.5,1,-0.02,0.04,0
13556.75578,-0.68,-0.35,9.58,-0.13,-0.13,0,-8.5,32.88,-42.69,1,-0.02,0.04,0
13883.20708,-0.69,-0.36,9.56,-0.13,0,0,-7,32.56,-43.06,1,-0.02,0.04,0
14207.81827,-0.68,-0.36,9.61,0.13,0,0.06,-7.38,33.25,-41.88,1,-0.02,0.04,0
14534.59001,-0.67,-0.35,9.57,0,0,0.06,-8.06,32.88,-41.5,1,-0.02,0.04,0
14859.47609,-0.67,-0.34,9.58,0,0.06,0.06,-7.38,33.25,-42.25,1,-0.02,0.04,0
15186.00821,-0.67,-0.35,9.57,0.13,0.06,0.06,-7,32.56,-41.88,1,-0.02,0.04,0
15511.02853,-0.68,-0.34,9.59,-0.06,-0.13,0,-7.38,33.25,-41.5,1,-0.02,0.04,0
15837.43978,-0.7,-0.34,9.55,0.06,0.06,0,-7.75,32.56,-43.06,1,-0.02,0.04,0
16162.43219,-0.68,-0.36,9.57,-0.06,0.13,-0.13,-6.56,32.56,-41.5,1,-0.02,0.04,0
16488.94596,-0.69,-0.35,9.55,0.13,-0.19,-0.06,-7.38,33.25,-41.5,1,-0.02,0.04,0
16814.09454,-0.68,-0.35,9.57,-0.06,0,0,-7.38,32.88,-42.25,1,-0.02,0.04,0
17140.8596,-0.68,-0.37,9.58,-0.06,0,0,-7,32.56,-43.06,1,-0.02,0.04,0
17464.83707,-0.67,-0.35,9.54,-0.13,0,0,-7,33.25,-41.5,1,-0.02,0.04,0
17792.37366,-0.67,-0.35,9.59,-0.06,0.06,-0.06,-7,33.25,-41.5,1,-0.02,0.04,0
18117.04493,-0.67,-0.35,9.56,0.13,0.19,0.13,-7.75,33.25,-41.88,1,-0.02,0.04,0
18444.33999,-0.67,-0.33,9.57,-0.06,-0.19,-0.13,-8.06,33.25,-42.25,1,-0.02,0.04,0
18768.8961,-0.68,-0.34,9.59,0.13,0.13,0.06,-8.06,32.88,-42.69,1,-0.02,0.04,0
19096.28057,-0.67,-0.34,9.55,-0.06,-0.06,-0.13,-7.38,33.25,-41.88,1,-0.02,0.04,0
19420.91441,-0.69,-0.34,9.57,-0.06,-0.13,0.13,-8.06,33.25,-41.06,1,-0.02,0.04,0
19747.83444,-0.67,-0.37,9.58,-0.06,0.06,-0.06,-7,33.25,-42.69,1,-0.02,0.04,0
20072.75367,-0.7,-0.34,9.58,0,-0.06,0.13,-7.75,33.25,-41.88,1,-0.02,0.04,0
20398.75841,-0.67,-0.34,9.56,0,0.06,0.06,-7.38,32.56,-42.69,1,-0.02,0.04,0
20723.70934,-0.69,-0.34,9.55,0,-0.06,-0.06,-6.56,33.25,-41.88,1,-0.02,0.04,0
21050.97508,-0.69,-0.34,9.59,0,-0.13,-0.06,-6.56,33.25,-41.88,1,-0.02,0.04,0
21375.2389,-0.68,-0.34,9.59,-0.06,0,0.06,-7,32.56,-43.06,1,-0.02,0.04,0
21702.12317,-0.67,-0.36,9.56,0.06,0,0,-7.38,33.25,-40.75,1,-0.02,0.04,0
22026.4852,-0.67,-0.34,9.57,0,0.13,-0.06,-7.75,32.88,-41.88,1,-0.02,0.04,0
22353.2486,-0.67,-0.34,9.6,0,0,0,-7,33.25,-41.88,1,-0.02,0.04,0
22677.98996,-0.68,-0.35,9.59,0,0,0.06,-7.75,33.25,-41.88,1,-0.02,0.04,0
23004.83775,-0.68,-0.35,9.58,0.06,-0.13,0.06,-8.06,32.25,-43.06,1,-0.02,0.04,0
23329.68926,-0.66,-0.37,9.58,0.06,-0.25,-0.06,-8.06,32.88,-42.25,1,-0.02,0.04,0
23656.99792,-0.68,-0.35,9.61,0.06,0,-0.06,-7.75,33.25,-42.69,1,-0.02,0.04,0
