t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
0.7969546318054199,0.14,2.01,9.01,2.31,-12.94,0.75,12.19,-17.25,-36.00,-0.44,-0.06,-0.08,-0.90
1.124863862991333,-1.01,1.06,9.64,-14.31,39.63,-10.06,15.69,-16.25,-36.00,-0.45,0.01,-0.08,-0.89
1.4496731758117676,-1.29,0.86,9.53,2.88,-24.81,-1.81,19.00,-14.75,-35.69,-0.46,0.04,-0.08,-0.88
1.7745611667633057,0.09,1.33,9.58,6.69,-10.63,-2.00,14.19,-14.75,-38.38,-0.46,-0.04,-0.06,-0.88
2.1033692359924316,-1.16,1.43,9.00,2.50,37.56,-10.06,17.50,-15.88,-35.69,-0.47,0.01,-0.10,-0.88
2.4277195930480957,-1.29,1.63,9.61,1.06,-47.50,6.06,19.38,-15.56,-34.50,-0.48,0.01,-0.10,-0.87
2.751634120941162,0.66,1.12,9.05,-8.50,25.13,-5.50,12.25,-15.56,-39.50,-0.48,-0.05,-0.06,-0.88
3.077812910079956,-2.05,1.07,10.05,-2.63,9.44,-0.56,20.56,-12.56,-36.38,-0.49,0.06,-0.09,-0.87
3.4041450023651123,-0.39,1.01,8.89,11.25,-34.25,5.63,16.75,-13.69,-36.38,-0.47,-0.01,-0.07,-0.88
3.7297394275665283,-0.07,1.91,9.81,-1.50,21.56,-3.13,13.75,-16.25,-37.06,-0.47,-0.04,-0.08,-0.88
4.055192947387695,-1.66,1.00,9.01,-7.25,28.31,-7.81,20.50,-13.69,-34.75,-0.48,0.05,-0.10,-0.87
4.381364345550537,-0.47,1.40,9.83,7.38,-56.75,9.13,18.56,-14.06,-35.88,-0.48,-0.01,-0.07,-0.87
4.709539175033569,0.41,1.29,9.25,-2.00,29.88,-5.44,12.25,-15.56,-38.25,-0.47,-0.05,-0.06,-0.88
5.0320024490356445,-2.05,1.29,8.97,-4.56,13.69,-1.50,20.50,-14.06,-36.56,-0.48,0.05,-0.10,-0.87
5.358013868331909,-0.34,1.01,9.84,4.44,-47.13,7.31,16.00,-14.38,-37.00,-0.48,-0.02,-0.06,-0.88
5.683190107345581,0.17,1.35,9.31,0.06,43.13,-3.69,12.25,-15.88,-39.25,-0.47,-0.03,-0.07,-0.88
6.0077526569366455,-2.52,1.30,9.45,3.94,1.00,1.50,22.69,-14.75,-34.25,-0.47,0.07,-0.12,-0.87
6.334848403930664,0.15,1.70,9.26,-0.94,-50.75,12.56,16.00,-17.00,-37.00,-0.45,-0.06,-0.07,-0.89
6.660897493362427,0.13,1.17,9.09,-13.00,55.56,-4.75,11.88,-15.50,-39.00,-0.45,-0.03,-0.06,-0.89
6.986661911010742,-2.37,0.68,9.79,2.19,-12.81,4.50,21.75,-13.25,-34.56,-0.45,0.08,-0.09,-0.89
7.316507339477539,0.21,1.23,9.35,14.75,-28.56,8.56,13.88,-16.25,-37.25,-0.43,-0.03,-0.07,-0.90
7.642682075500488,-0.69,1.88,9.75,-0.56,34.00,-2.94,14.69,-18.50,-36.56,-0.42,-0.02,-0.10,-0.90
7.96277642250061,-1.42,1.35,8.31,-8.50,0.56,2.00,19.19,-17.00,-33.88,-0.42,0.04,-0.10,-0.90
8.289312362670898,-0.51,0.97,10.36,-7.81,-32.75,8.44,16.19,-15.56,-37.38,-0.41,-0.01,-0.06,-0.91
8.614335060119629,0.07,0.80,9.14,5.00,31.94,2.75,12.06,-16.25,-38.56,-0.39,-0.01,-0.05,-0.92
8.9404616355896,-1.93,1.37,9.64,11.63,-3.06,9.44,19.19,-17.75,-34.25,-0.38,0.05,-0.10,-0.92
9.266210079193115,-0.11,2.09,8.73,-1.25,-27.81,11.63,13.38,-21.06,-37.00,-0.35,-0.03,-0.09,-0.93
9.592494010925293,-0.51,1.05,9.76,-15.88,34.75,0.44,11.88,-20.00,-36.56,-0.34,-0.00,-0.07,-0.94
9.920545816421509,-1.70,0.72,9.56,-0.63,-3.06,3.69,18.06,-17.75,-35.50,-0.33,0.07,-0.07,-0.94
10.24394154548645,0.02,1.13,9.50,12.25,-19.75,9.38,13.25,-19.25,-37.38,-0.32,-0.01,-0.06,-0.95
10.569452285766602,-0.85,1.69,9.55,3.06,25.88,-1.06,12.19,-22.25,-36.56,-0.30,0.01,-0.09,-0.95
10.895132303237915,-1.23,1.62,8.86,-8.00,-3.63,6.19,15.88,-21.06,-35.50,-0.29,0.04,-0.10,-0.95
11.222282409667969,-0.33,0.95,9.83,-6.69,-12.00,5.81,12.56,-21.06,-38.19,-0.28,0.01,-0.06,-0.96
11.546446084976196,-0.79,0.95,9.65,3.69,17.88,4.13,12.19,-20.75,-37.75,-0.26,0.03,-0.06,-0.96
11.870582580566406,-1.09,1.37,9.31,9.13,-10.81,8.19,14.00,-22.56,-36.56,-0.25,0.03,-0.09,-0.96
12.198166370391846,-0.31,1.87,9.20,-5.69,1.25,4.25,10.69,-24.38,-36.19,-0.23,-0.00,-0.09,-0.97
12.522115707397461,-1.01,0.81,9.52,-9.19,11.69,2.13,12.56,-22.25,-38.25,-0.22,0.04,-0.07,-0.97
12.848615407943726,-0.81,1.00,9.71,5.44,-10.69,4.94,12.19,-21.88,-37.50,-0.21,0.03,-0.06,-0.98
13.17411184310913,-0.40,1.35,9.21,7.44,2.88,4.13,9.19,-23.69,-37.88,-0.20,0.01,-0.08,-0.98
13.499853372573853,-1.28,1.82,9.73,-2.63,9.00,2.75,11.50,-24.06,-36.25,-0.19,0.04,-0.09,-0.98
13.827177047729492,-0.51,1.25,8.64,-9.81,-14.50,6.44,10.00,-24.38,-37.06,-0.17,0.02,-0.07,-0.98
14.154302835464478,-0.61,0.55,10.37,1.31,12.94,2.94,8.06,-22.38,-39.88,-0.16,0.02,-0.05,-0.99
14.478463411331177,-1.19,1.38,9.18,10.31,6.44,6.13,10.69,-24.50,-36.19,-0.15,0.05,-0.08,-0.98
14.802938222885132,-0.70,1.78,9.39,2.81,-19.81,8.44,8.50,-26.75,-35.88,-0.13,0.02,-0.10,-0.99
15.127900123596191,-0.43,1.59,9.06,-16.56,19.00,0.50,5.88,-24.88,-37.06,-0.12,0.02,-0.08,-0.99
15.455046892166138,-1.22,0.36,9.83,-2.56,-5.81,3.13,10.00,-22.69,-38.69,-0.11,0.06,-0.05,-0.99
15.782166719436646,-0.35,1.07,9.35,12.31,-9.13,3.38,7.38,-24.19,-37.50,-0.10,0.02,-0.06,-0.99
16.105963706970215,-0.92,1.75,9.66,9.50,10.63,1.56,7.00,-26.38,-38.25,-0.10,0.03,-0.09,-0.99
16.429937839508057,-0.75,1.76,8.66,-10.50,4.19,0.63,8.06,-27.50,-37.06,-0.09,0.04,-0.10,-0.99
16.762518167495728,-1.07,0.99,10.08,-11.81,-12.69,3.00,7.69,-24.88,-37.50,-0.09,0.04,-0.06,-0.99
17.08240032196045,-0.30,0.50,9.18,4.63,-1.38,2.63,4.75,-23.38,-39.88,-0.08,0.01,-0.04,-1.00
17.408845901489258,-0.82,1.46,9.83,12.69,19.81,0.81,6.25,-25.69,-37.38,-0.07,0.04,-0.07,-0.99
17.732978582382202,-1.35,1.77,8.87,1.31,-11.31,6.63,8.56,-27.50,-35.56,-0.07,0.06,-0.10,-0.99
18.059673070907593,-0.08,1.53,9.47,-12.13,-9.75,4.63,4.06,-27.19,-37.06,-0.05,0.00,-0.08,-1.00
