t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
0.886296034,-1.13,0.75,9.65,-13.5,-4.06,19.38,4.38,12.88,-46.69,-1,-0.05,-0.05,0.04,
1.210865498,-0.33,0.67,9.51,7.75,-4.38,21.19,2.88,13.56,-47.06,-1,-0.05,-0.02,-0.02,
1.538086176,-0.83,1.46,9.51,11.5,22.88,17.31,6.25,10.69,-47.5,-0.99,-0.08,-0.06,-0.07,
1.864873171,-1.24,1.9,9.09,-1.56,-6.19,22,11.06,8.06,-45.88,-0.98,-0.09,-0.08,-0.12,
2.189487934,-0.38,1.38,9.5,-16.44,-2.25,21.25,9.25,9.56,-48.25,-0.98,-0.07,-0.04,-0.18,
2.514919281,-0.96,0.68,9.68,-7.13,14.31,18.69,12.56,11.06,-45.06,-0.97,-0.03,-0.06,-0.24,
2.844661474,-0.77,0.78,9.38,12.69,-11,22.94,15.25,9.19,-44.75,-0.95,-0.04,-0.06,-0.29,
3.167615175,-0.4,1.88,9.39,6.13,16.13,18.31,14.5,5.06,-45.5,-0.93,-0.08,-0.06,-0.35,
3.491834164,-1.46,1.56,9.34,-8.56,8.44,17.69,20.75,3.25,-42.69,-0.91,-0.05,-0.11,-0.39,
3.818676233,-0.52,1.09,9.4,-8.06,-22.81,23.44,18.19,2.88,-44.25,-0.89,-0.05,-0.05,-0.45,
4.143893242,-0.38,0.91,9.61,-2.38,23.06,16.88,17.06,2.88,-44.75,-0.87,-0.04,-0.04,-0.5,
4.468550682,-1.33,1.11,9.49,6.94,6.13,18.38,22.75,0.56,-42.38,-0.83,-0.01,-0.1,-0.54,
4.796935797,-0.5,1.53,9.24,5.56,-11.13,20.38,21.56,-3.06,-44.75,-0.8,-0.05,-0.08,-0.6,
5.121443272,-0.82,1.56,9.44,-7.38,17.75,12.88,20.75,-5.25,-43.06,-0.76,-0.04,-0.09,-0.64,
5.448005915,-1.08,1.15,9.53,-6.44,-14.19,17.44,24.06,-5.25,-42.38,-0.73,-0.02,-0.08,-0.68,
5.77285552,-0.2,0.95,9.37,-1.69,10,14.88,20.19,-6.06,-44.38,-0.7,-0.03,-0.06,-0.71,
6.098522425,-1.3,1.08,9.5,8,11.75,14.94,24.56,-8.56,-42,-0.66,0.01,-0.1,-0.75,
