t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
0.6980652809143066,-0.62,-0.34,9.60,0.00,0.06,0.00,-15.69,16.25,-3.69,1.00,-0.03,0.03,0.06
1.0253403186798096,-0.64,-0.34,9.61,0.19,-0.06,0.13,-15.69,16.25,-3.38,1.00,-0.03,0.03,0.06
1.3505499362945557,-0.63,-0.35,9.56,0.13,-0.06,-0.06,-14.88,15.88,-1.75,1.00,-0.03,0.03,0.06
1.6774911880493164,-0.64,-0.35,9.61,-0.06,0.06,0.06,-16.25,15.88,-3.00,1.00,-0.03,0.03,0.06
2.0019006729125977,-0.66,-0.35,9.60,0.06,-0.06,0.00,-16.25,16.25,-3.00,1.00,-0.03,0.03,0.06
2.3290748596191406,-0.64,-0.34,9.56,-0.06,0.13,0.06,-15.25,15.88,-3.38,1.00,-0.03,0.03,0.06
2.6547539234161377,-0.63,-0.37,9.59,-0.06,-0.06,-0.13,-15.69,16.25,-3.69,1.00,-0.03,0.03,0.06
2.9807944297790527,-0.66,-0.35,9.61,-0.06,0.00,0.00,-14.50,15.88,-2.50,1.00,-0.03,0.03,0.06
3.305250644683838,-0.62,-0.34,9.57,-0.25,-0.06,0.00,-16.00,16.25,-2.50,1.00,-0.03,0.03,0.06
3.6324267387390137,-0.64,-0.35,9.59,0.00,0.00,-0.06,-16.00,15.88,-5.69,1.00,-0.03,0.03,0.06
3.957376718521118,-0.66,-0.34,9.61,-0.06,0.00,-0.06,-14.88,16.69,-4.50,1.00,-0.03,0.03,0.06
4.284119606018066,-0.64,-0.34,9.58,0.06,0.19,0.06,-14.88,16.69,-3.38,1.00,-0.03,0.03,0.06
4.608835697174072,-0.63,-0.35,9.57,0.13,0.06,0.19,-15.25,16.25,-3.38,1.00,-0.03,0.03,0.06
4.935834884643555,-0.64,-0.36,9.58,0.00,0.13,0.00,-16.00,15.88,-4.06,1.00,-0.03,0.03,0.06
5.25993013381958,-0.65,-0.35,9.58,0.13,0.00,0.00,-16.25,15.88,-2.56,1.00,-0.03,0.03,0.06
5.587259531021118,-0.67,-0.34,9.59,0.00,0.19,-0.06,-15.25,15.88,-3.69,1.00,-0.03,0.03,0.06
5.912734746932983,-0.63,-0.35,9.60,0.00,-0.06,0.06,-15.69,16.25,-3.69,1.00,-0.03,0.03,0.06
6.239193677902222,-0.65,-0.37,9.60,-0.06,0.00,0.06,-15.25,16.69,-3.69,1.00,-0.03,0.03,0.06
6.564290761947632,-0.64,-0.35,9.58,-0.06,0.06,-0.06,-16.00,16.69,-3.38,1.00,-0.03,0.03,0.06
6.89070987701416,-0.65,-0.34,9.60,0.00,0.06,0.06,-15.69,15.88,-3.38,1.00,-0.03,0.03,0.06
7.215553283691406,-0.65,-0.36,9.59,-0.06,0.13,-0.06,-16.25,16.25,-3.38,1.00,-0.03,0.03,0.06
7.542515754699707,-0.64,-0.34,9.58,0.06,0.06,0.06,-15.69,16.25,-3.00,1.00,-0.03,0.03,0.06
7.867347717285156,-0.65,-0.36,9.61,-0.19,0.13,0.00,-15.69,16.69,-3.38,1.00,-0.03,0.03,0.06
8.194115400314331,-0.63,-0.35,9.60,0.00,0.13,0.13,-15.69,16.25,-3.00,1.00,-0.03,0.03,0.06
8.518580913543701,-0.65,-0.34,9.58,0.06,0.13,-0.06,-16.25,16.25,-3.00,1.00,-0.03,0.03,0.06
8.845803022384644,-0.66,-0.35,9.61,0.00,0.06,0.06,-15.69,15.88,-2.19,1.00,-0.03,0.03,0.06
9.170588254928589,-0.65,-0.38,9.59,0.06,-0.19,0.13,-16.00,16.69,-1.88,1.00,-0.03,0.03,0.06
9.498008489608765,-0.64,-0.34,9.59,-0.13,0.00,0.19,-14.88,15.88,-2.56,1.00,-0.03,0.03,0.06
9.822203159332275,-0.66,-0.36,9.57,0.00,-0.13,0.13,-14.88,16.25,-3.00,1.00,-0.03,0.03,0.06
10.150360107421875,-0.66,-0.37,9.59,0.00,-0.13,0.13,-15.69,16.69,-3.75,1.00,-0.03,0.03,0.06
10.474494218826294,-0.64,-0.36,9.60,-0.06,-0.13,0.13,-16.69,17.00,-3.00,1.00,-0.03,0.03,0.06
10.801286697387695,-0.64,-0.36,9.58,0.06,0.13,0.06,-16.00,16.69,-3.38,1.00,-0.03,0.03,0.06
11.126920700073242,-0.65,-0.38,9.57,0.06,0.00,0.00,-15.69,15.88,-2.56,1.00,-0.03,0.03,0.06
11.452728748321533,-0.66,-0.36,9.61,0.00,0.00,0.06,-16.00,15.50,-3.00,1.00,-0.03,0.03,0.06
11.777554273605347,-0.65,-0.35,9.56,0.00,-0.13,0.19,-16.00,16.25,-3.38,1.00,-0.03,0.03,0.06
12.10465693473816,-0.64,-0.35,9.55,0.06,-0.06,0.00,-16.00,16.69,-3.00,1.00,-0.03,0.03,0.06
12.429071187973022,-0.67,-0.35,9.59,0.06,0.13,0.00,-14.88,15.19,-2.56,1.00,-0.03,0.03,0.06
12.756291389465332,-0.67,-0.37,9.60,0.13,0.13,-0.06,-16.00,15.88,-4.19,1.00,-0.03,0.03,0.06
13.0809485912323,-0.68,-0.34,9.59,0.00,0.06,0.00,-15.69,16.25,-3.38,1.00,-0.03,0.03,0.06
13.407849311828613,-0.66,-0.34,9.60,0.06,0.19,-0.06,-16.00,15.19,-3.00,1.00,-0.03,0.03,0.06
13.732760190963745,-0.63,-0.37,9.58,0.00,-0.13,-0.06,-16.25,16.69,-3.00,1.00,-0.03,0.03,0.06
14.05983853340149,-0.66,-0.35,9.59,0.06,-0.06,0.13,-15.69,17.00,-3.75,1.00,-0.03,0.03,0.06
14.385798454284668,-0.64,-0.38,9.59,0.00,-0.06,-0.06,-16.00,15.50,-2.19,1.00,-0.03,0.03,0.06
14.711237668991089,-0.65,-0.34,9.60,0.00,0.00,0.06,-15.25,17.00,-3.75,1.00,-0.03,0.03,0.06
15.03701639175415,-0.64,-0.35,9.59,-0.06,-0.13,-0.06,-15.69,16.69,-3.00,1.00,-0.03,0.03,0.06
15.363207817077637,-0.63,-0.37,9.60,0.06,0.00,-0.13,-16.00,16.69,-3.00,1.00,-0.03,0.03,0.06
15.687498569488525,-0.65,-0.36,9.60,0.06,0.00,0.06,-15.25,15.88,-3.75,1.00,-0.03,0.03,0.06
16.015974760055542,-0.65,-0.36,9.57,0.06,0.13,-0.06,-15.69,16.25,-2.56,1.00,-0.03,0.03,0.06
16.339910745620728,-0.67,-0.36,9.58,0.00,-0.06,-0.06,-15.25,15.88,-5.00,1.00,-0.03,0.03,0.06
16.666895389556885,-0.64,-0.35,9.60,0.00,-0.13,0.06,-15.69,16.25,-3.75,1.00,-0.03,0.03,0.06
