t,Ax,Ay,Az,Bx,By,Bz,h
920.6132888793945,80
936.7358684539795,-1,0,10,24,-150,-89,176.82
953.6969661712646,-1,0,10,19,-153,-87,177.44
966.9058322906494,-1,0,10,24,-155,-87,177.08
982.8381538391113,-1,0,10,24,-158,-87,177.52
998.7978935241699,-1,0,10,29,-155,-86,176.99
1014.8482322692871,-1,0,10,21,-162,-86,177.08
1031.7449569702148,-1,0,10,26,-153,-86,176.99
1044.6746349334717,-1,0,10,24,-153,-86,176.64
1060.6358051300049,-1,0,10,24,-155,-86,176.91
1076.643943786621,-1,0,10,26,-153,-87,177.70
1093.5778617858887,-1,0,10,26,-158,-87,177.53
1109.5004081726074,-1,0,10,31,-158,-87,176.91
1125.542402267456,-1,0,10,21,-153,-88,177.26
1138.423204421997,-1,0,10,29,-153,-87,176.82
1154.6354293823242,-1,0,10,21,-153,-87,176.91
1170.5849170684814,-1,0,10,19,-148,-89,177.53
1187.5386238098145,-1,0,10,26,-150,-87,177.61
1203.7451267242432,-1,0,10,26,-155,-86,177.61
1216.0680294036865,-1,0,10,19,-153,-87,176.99
1233.022689819336,-1,0,10,21,-155,-86,176.46
1248.98099899292,-1,0,10,24,-153,-87,176.82
1264.9385929107666,-1,0,10,24,-153,-86,175.93
1281.8922996520996,-1,0,10,29,-160,-86,177.26
1293.8611507415771,-1,0,10,26,-158,-86,177.26
1310.8360767364502,-1,0,10,24,-155,-89,177.53
1326.7710208892822,-1,0,10,21,-158,-89,177.17
1342.8153991699219,-1,0,10,26,-160,-87,177.70
1359.6844673156738,-1,0,10,17,-155,-86,176.82
1375.6418228149414,-1,0,10,29,-150,-86,177.35
1388.6301517486572,-1,0,10,29,-153,-87,178.15
1404.56223487854,-1,0,10,24,-155,-87,177.17
1420.6089973449707,-1,0,10,29,-153,-87,176.82
1437.4749660491943,-1,0,10,24,-155,-86,176.11
1453.4313678741455,-1,0,10,21,-158,-87,176.82
1466.4239883422852,-1,0,10,24,-150,-86,177.17
1482.3582172393799,-1,0,10,24,-155,-87,177.53
1498.3940124511719,-1,0,10,21,-158,-86,176.64
1515.268087387085,-1,0,10,24,-160,-87,176.82
1531.3444137573242,-1,0,10,24,-153,-87,177.17
1544.433355331421,-1,0,10,24,-153,-87,176.82
1561.3925457000732,-1,0,10,29,-153,-88,176.82
1576.5330791473389,-1,0,10,26,-155,-86,176.02
1592.4780368804932,-1,0,10,26,-150,-87,177.53
1609.3871593475342,-1,0,10,19,-153,-86,176.82
1622.3809719085693,-1,0,10,29,-158,-87,176.82
1638.3419036865234,-1,0,10,24,-150,-87,177.35
1654.3304920196533,-1,0,10,21,-153,-87,177.53
1670.3436374664307,-1,0,10,19,-153,-86,177.80
1687.2096061706543,-1,0,10,21,-158,-87,176.91
1703.2489776611328,-1,0,10,29,-148,-88,177.53
1716.158151626587,-1,0,10,21,-155,-87,177.17
1732.140064239502,-1,0,10,26,-153,-86,177.53
1748.1787204742432,-1,0,10,24,-158,-87,176.82
1764.101266860962,-1,0,10,26,-158,-86,177.53
1781.0888290405273,-1,0,10,21,-155,-88,177.53
1793.9732074737549,-1,0,10,21,-150,-87,176.64
1809.9393844604492,-1,0,10,21,-153,-87,176.11
1825.8893489837646,-1,0,10,24,-158,-87,177.35
1842.8418636322021,-1,0,10,26,-148,-86,177.35
1858.879804611206,-1,0,10,24,-160,-88,176.82
1871.7644214630127,-1,0,10,26,-158,-86,176.37
1887.725591659546,-1,0,10,26,-150,-87,177.53
1903.97310256958,-1,0,10,24,-153,-87,177.35
1920.1595783233643,-1,0,10,29,-158,-86,177.53
1936.11741065979,-1,0,10,26,-150,-87,176.64
1950.2723217010498,-1,0,10,29,-155,-87,176.82
1966.3197994232178,-1,0,10,24,-150,-86,177.44
1982.4554920196533,-1,0,10,26,-153,-86,177.53
1998.410940170288,-1,0,10,26,-148,-86,176.82
2014.4388675689697,-1,0,10,24,-153,-87,177.53
2030.3294658660889,-1,0,10,29,-155,-85,177.53
2043.5400009155273,-1,0,10,19,-165,-87,176.73
2060.4946613311768,-1,0,10,19,-148,-87,177.35
2076.451539993286,-1,0,10,19,-150,-88,177.35
2092.5326347351074,-1,0,10,26,-153,-86,177.53
2108.693838119507,-1,0,10,24,-155,-86,176.73
2121.572256088257,-1,0,10,26,-158,-88,176.73
2137.624979019165,-1,0,10,21,-153,-89,177.44
2154.51717376709,-1,0,10,24,-158,-87,177.53
2170.4556941986084,-1,0,10,31,-153,-86,176.64
2186.3999366760254,-1,0,10,31,-153,-86,177.35
2199.3637084960938,-1,0,10,21,-158,-87,177.00
2215.3234481811523,-1,0,10,26,-153,-86,177.35
2232.276201248169,-1,0,10,26,-153,-84,176.64
2248.2941150665283,-1,0,10,31,-158,-87,176.37
2264.2059326171875,-1,0,10,19,-160,-86,177.53
2277.1871089935303,-1,0,10,24,-148,-88,177.08
2293.1125164031982,-1,0,10,24,-153,-87,176.64
2310.091972351074,-1,0,10,19,-155,-87,178.15
2326.0338306427,-1,0,10,26,-153,-87,177.35
2342.238187789917,-1,0,10,26,-153,-87,177.35
2358.2773208618164,-1,0,10,26,-160,-87,178.06
2371.1602687835693,-1,0,10,21,-158,-87,176.82
2388.1471157073975,-1,0,10,26,-150,-86,176.64
2404.072046279907,-1,0,10,24,-155,-87,177.00
2420.1204776763916,-1,0,10,29,-150,-86,176.64
2436.0177516937256,-1,0,10,29,-155,-86,177.71
2448.9519596099854,-1,0,10,26,-153,-87,177.35
2465.906858444214,-1,0,10,24,-153,-84,177.71
2481.8646907806396,-1,0,10,29,-153,-87,177.62
2497.9047775268555,-1,0,10,19,-158,-86,176.64
2514.775276184082,-1,0,10,29,-155,-87,177.00
2526.744842529297,-1,0,10,26,-155,-86,177.17
