t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
0.8985881805419922,-0.76,1.29,9.46,-0.63,0.00,0.06,17.25,-9.50,-34.75,-0.61,-0.07,0.03,0.79
1.2256898880004883,-0.78,1.25,9.48,0.38,0.13,0.06,17.69,-9.88,-35.19,-0.61,-0.07,0.03,0.79
1.549783706665039,-0.77,1.26,9.42,0.81,0.06,0.19,16.56,-10.25,-35.19,-0.61,-0.07,0.03,0.79
1.8775904178619385,-0.79,1.30,9.44,0.44,-0.06,0.00,17.00,-9.88,-36.25,-0.61,-0.08,0.03,0.79
2.202514171600342,-0.76,1.30,9.44,-0.44,-0.19,-0.19,17.25,-9.50,-35.88,-0.61,-0.08,0.03,0.79
2.5292537212371826,-0.77,1.24,9.47,-0.06,-0.13,0.00,17.69,-9.50,-35.19,-0.61,-0.08,0.03,0.79
2.853480100631714,-0.77,1.26,9.48,0.56,0.13,0.06,17.69,-9.88,-36.25,-0.61,-0.08,0.03,0.79
3.1809351444244385,-0.77,1.30,9.47,0.63,0.25,0.00,17.69,-10.25,-36.38,-0.61,-0.08,0.03,0.79
3.5054373741149902,-0.78,1.30,9.46,-0.50,-0.13,-0.06,17.69,-9.50,-35.56,-0.61,-0.08,0.03,0.79
3.833153247833252,-0.77,1.26,9.47,-0.44,0.13,0.00,18.06,-10.25,-35.88,-0.61,-0.08,0.03,0.79
4.156368255615234,-0.78,1.24,9.46,0.44,0.31,-0.06,17.69,-9.88,-34.75,-0.61,-0.08,0.03,0.79
4.483999729156494,-0.79,1.28,9.44,0.56,-0.13,0.19,17.25,-9.88,-35.19,-0.61,-0.08,0.03,0.79
4.809656381607056,-0.78,1.29,9.45,-0.44,-0.13,-0.06,17.00,-10.56,-35.88,-0.61,-0.08,0.03,0.79
5.136268377304077,-0.76,1.27,9.44,-0.81,-0.13,-0.25,17.25,-9.88,-36.00,-0.61,-0.08,0.03,0.79
5.460880279541016,-0.76,1.25,9.49,0.00,0.06,0.13,17.00,-10.25,-34.38,-0.61,-0.07,0.03,0.79
5.78733229637146,-0.77,1.27,9.46,0.44,0.06,0.06,17.25,-9.06,-35.56,-0.61,-0.07,0.03,0.79
6.112225770950317,-0.80,1.30,9.46,0.00,-0.06,0.00,17.69,-10.25,-34.38,-0.61,-0.07,0.03,0.79
6.439470291137695,-0.76,1.29,9.45,-0.81,-0.19,-0.13,17.25,-9.88,-35.56,-0.61,-0.07,0.03,0.79
6.764521837234497,-0.77,1.27,9.44,-0.19,-0.06,0.06,17.25,-10.25,-36.38,-0.61,-0.07,0.03,0.79
7.090654134750366,-0.74,1.25,9.45,0.50,0.31,0.00,17.25,-9.50,-36.25,-0.61,-0.07,0.03,0.79
7.415468454360962,-0.79,1.29,9.44,0.13,-0.31,0.13,17.69,-9.88,-35.56,-0.61,-0.07,0.03,0.79
7.742628574371338,-0.76,1.29,9.47,-0.38,0.13,-0.06,16.19,-9.88,-34.75,-0.61,-0.07,0.03,0.79
8.067075967788696,-0.78,1.25,9.43,-0.44,0.00,0.00,17.00,-9.88,-34.00,-0.61,-0.07,0.03,0.79
8.394232273101807,-0.77,1.23,9.45,0.50,-0.06,-0.06,17.00,-10.25,-36.25,-0.61,-0.07,0.03,0.79
8.718718767166138,-0.76,1.27,9.43,0.81,0.13,0.00,18.06,-9.50,-35.88,-0.61,-0.07,0.03,0.79
9.045979261398315,-0.79,1.30,9.47,0.00,-0.13,-0.13,18.06,-9.88,-35.88,-0.61,-0.07,0.03,0.79
9.370590209960938,-0.77,1.28,9.46,-0.31,0.25,-0.13,16.56,-9.88,-35.56,-0.61,-0.07,0.03,0.79
9.697771072387695,-0.78,1.25,9.47,0.19,0.06,-0.06,17.00,-9.88,-35.88,-0.61,-0.07,0.03,0.79
10.02200198173523,-0.76,1.25,9.45,0.94,0.19,0.06,17.00,-9.88,-36.00,-0.61,-0.08,0.03,0.79
10.348973989486694,-0.77,1.29,9.42,0.25,-0.06,0.00,17.25,-10.25,-35.19,-0.61,-0.08,0.03,0.79
10.674105644226074,-0.78,1.27,9.47,-0.50,-0.25,0.00,17.25,-9.88,-35.19,-0.61,-0.08,0.03,0.79
11.001230716705322,-0.78,1.23,9.49,-0.06,0.31,0.13,17.25,-9.50,-34.38,-0.61,-0.08,0.03,0.79
11.325367450714111,-0.77,1.25,9.45,0.56,0.13,-0.13,16.56,-9.50,-35.88,-0.61,-0.08,0.03,0.79
11.652976512908936,-0.79,1.28,9.46,0.56,0.13,0.06,17.00,-10.25,-35.56,-0.61,-0.08,0.03,0.79
11.977230548858643,-0.77,1.29,9.50,-0.56,-0.25,0.00,17.00,-10.25,-35.19,-0.61,-0.08,0.03,0.79
12.30461859703064,-0.76,1.24,9.47,-0.44,0.00,0.00,17.25,-9.88,-35.88,-0.61,-0.08,0.03,0.79
12.628974437713623,-0.76,1.25,9.47,0.31,0.19,0.13,17.25,-9.50,-34.75,-0.61,-0.08,0.03,0.79
12.956014394760132,-0.80,1.27,9.43,0.38,-0.13,0.19,17.69,-9.88,-34.38,-0.61,-0.08,0.03,0.79
13.281152725219727,-0.76,1.29,9.46,-0.50,-0.06,0.00,17.25,-11.00,-36.38,-0.61,-0.08,0.03,0.79
13.608319997787476,-0.76,1.29,9.46,-1.00,-0.13,0.00,17.25,-9.88,-34.38,-0.61,-0.08,0.03,0.79
13.932287454605103,-0.76,1.27,9.46,-0.06,0.13,0.13,17.25,-9.06,-35.56,-0.61,-0.07,0.03,0.79
14.260451316833496,-0.77,1.26,9.43,0.31,-0.13,0.00,17.00,-10.25,-35.88,-0.61,-0.07,0.03,0.79
14.584796905517578,-0.78,1.28,9.47,-0.13,-0.25,0.00,16.56,-10.25,-35.88,-0.61,-0.07,0.03,0.79
14.911673307418823,-0.77,1.29,9.43,-0.75,-0.19,0.06,17.00,-9.50,-34.75,-0.61,-0.07,0.03,0.79
15.23681378364563,-0.75,1.27,9.47,-0.38,-0.06,0.00,16.56,-10.25,-35.56,-0.61,-0.07,0.03,0.79
15.5631685256958,-0.79,1.27,9.42,0.50,0.13,0.06,16.56,-9.06,-35.88,-0.61,-0.07,0.03,0.79
15.88773798942566,-0.77,1.29,9.45,0.38,-0.31,-0.06,16.56,-9.88,-34.75,-0.61,-0.07,0.03,0.79
16.21516466140747,-0.76,1.30,9.46,-0.44,-0.13,0.00,16.56,-10.25,-35.56,-0.61,-0.07,0.03,0.79
16.539992094039917,-0.78,1.27,9.45,-0.38,0.06,-0.25,17.00,-9.88,-35.19,-0.61,-0.07,0.03,0.79
16.8661208152771,-0.77,1.27,9.47,0.56,0.06,0.00,17.00,-9.50,-35.56,-0.61,-0.07,0.03,0.79
17.191088914871216,-0.79,1.29,9.46,1.00,0.06,0.06,17.25,-9.88,-35.56,-0.61,-0.08,0.03,0.79
17.518118381500244,-0.77,1.30,9.45,0.06,-0.06,-0.06,17.25,-9.88,-35.56,-0.61,-0.08,0.03,0.79
17.844300985336304,-0.77,1.29,9.45,-0.31,-0.19,-0.06,16.56,-10.25,-34.38,-0.61,-0.08,0.03,0.79
18.171001434326172,-0.76,1.26,9.46,0.25,-0.06,0.06,17.69,-9.06,-35.19,-0.61,-0.08,0.03,0.79
18.496281623840332,-0.77,1.27,9.45,0.81,0.19,-0.06,17.00,-10.56,-35.19,-0.61,-0.08,0.03,0.79
18.821589469909668,-0.79,1.29,9.48,0.31,-0.31,0.00,17.00,-9.88,-34.75,-0.61,-0.08,0.03,0.79
19.146177768707275,-0.78,1.29,9.44,-0.63,0.00,-0.06,17.00,-9.50,-35.19,-0.61,-0.08,0.03,0.79
19.472965240478516,-0.78,1.25,9.45,-0.13,0.06,0.13,17.25,-9.88,-35.56,-0.61,-0.08,0.03,0.79
19.79759120941162,-0.78,1.26,9.43,0.44,0.06,0.00,17.00,-9.88,-34.38,-0.61,-0.08,0.03,0.79
20.12562870979309,-0.77,1.28,9.45,0.38,0.00,-0.06,16.56,-9.88,-34.75,-0.61,-0.08,0.03,0.79
20.448787689208984,-0.78,1.28,9.44,-0.75,-0.13,0.00,16.19,-9.50,-35.56,-0.61,-0.08,0.03,0.79
20.77752995491028,-0.78,1.27,9.45,-0.56,0.13,0.00,17.25,-10.25,-35.88,-0.61,-0.08,0.03,0.79
21.1007080078125,-0.76,1.25,9.47,0.13,0.19,0.00,17.25,-9.88,-35.19,-0.61,-0.08,0.03,0.79
21.427865982055664,-0.80,1.28,9.48,0.19,0.00,-0.06,17.00,-9.50,-35.56,-0.61,-0.08,0.03,0.79
21.753288507461548,-0.77,1.30,9.46,-0.31,-0.13,-0.13,17.00,-10.25,-35.88,-0.61,-0.08,0.03,0.79
22.080257654190063,-0.78,1.27,9.44,-0.81,0.00,0.00,17.25,-9.88,-35.56,-0.61,-0.07,0.03,0.79
22.405097246170044,-0.78,1.25,9.46,-0.06,0.00,-0.06,17.00,-10.25,-36.25,-0.61,-0.07,0.03,0.79
22.732135772705078,-0.78,1.27,9.46,0.69,0.13,0.00,17.00,-10.56,-34.00,-0.61,-0.07,0.03,0.79
23.05626630783081,-0.77,1.30,9.45,0.06,0.06,-0.06,16.19,-9.88,-34.75,-0.61,-0.07,0.03,0.79
23.38388466835022,-0.79,1.29,9.48,-0.63,-0.19,0.06,17.00,-10.56,-34.69,-0.61,-0.07,0.03,0.79
23.70862627029419,-0.76,1.25,9.46,-0.13,0.13,0.06,17.69,-10.25,-35.19,-0.61,-0.07,0.03,0.79
24.035150051116943,-0.81,1.24,9.47,0.88,0.31,0.06,17.00,-10.25,-34.75,-0.61,-0.07,0.03,0.79
24.360291957855225,-0.77,1.30,9.47,0.50,0.00,0.06,16.19,-10.25,-34.38,-0.61,-0.08,0.03,0.79
24.687339305877686,-0.77,1.30,9.44,-0.25,-0.31,0.06,16.56,-9.88,-35.56,-0.61,-0.08,0.03,0.79
25.012216091156006,-0.77,1.27,9.45,-0.19,0.19,0.00,17.00,-9.88,-34.38,-0.61,-0.08,0.03,0.79
25.33910322189331,-0.77,1.25,9.46,0.50,-0.06,-0.06,17.25,-9.06,-35.19,-0.61,-0.08,0.03,0.79
25.663166999816895,-0.78,1.30,9.46,0.94,0.06,0.19,16.56,-10.25,-34.00,-0.61,-0.08,0.03,0.79
25.990886688232422,-0.78,1.29,9.47,-0.06,-0.19,0.06,17.25,-10.56,-35.19,-0.61,-0.08,0.03,0.79
26.315805912017822,-0.78,1.28,9.46,-0.44,0.06,-0.06,17.00,-9.88,-34.69,-0.61,-0.08,0.03,0.79
26.64156484603882,-0.78,1.24,9.46,0.13,0.13,0.13,17.69,-10.25,-35.19,-0.61,-0.08,0.03,0.79
26.966960191726685,-0.78,1.27,9.45,0.69,0.06,0.06,16.19,-10.25,-35.56,-0.61,-0.08,0.03,0.79
27.29342818260193,-0.77,1.29,9.45,0.00,0.13,-0.06,16.19,-11.00,-34.38,-0.61,-0.08,0.03,0.79
27.619386911392212,-0.76,1.29,9.46,-0.63,-0.19,-0.06,17.00,-9.06,-33.56,-0.61,-0.08,0.03,0.79
27.949980974197388,-0.77,1.26,9.45,-0.19,0.06,-0.06,16.19,-10.25,-34.38,-0.61,-0.08,0.03,0.79
28.270665407180786,-0.77,1.25,9.47,0.50,0.25,0.13,16.56,-9.50,-35.19,-0.61,-0.08,0.03,0.79
28.597076892852783,-0.78,1.30,9.45,0.31,-0.06,0.00,16.56,-9.06,-34.75,-0.61,-0.08,0.03,0.79
28.921793699264526,-0.78,1.28,9.44,-0.63,0.00,0.06,17.00,-10.56,-35.19,-0.61,-0.08,0.03,0.79
29.2488534450531,-0.76,1.28,9.44,-0.75,0.00,-0.19,16.56,-9.88,-35.19,-0.61,-0.07,0.03,0.79
29.573466539382935,-0.76,1.25,9.47,0.25,0.25,0.06,16.56,-10.56,-35.56,-0.61,-0.07,0.03,0.79
29.900516748428345,-0.76,1.28,9.45,0.19,-0.19,-0.06,16.19,-10.25,-34.75,-0.61,-0.07,0.03,0.79
30.22697353363037,-0.77,1.29,9.47,-0.38,0.00,-0.06,16.56,-10.25,-34.75,-0.61,-0.07,0.03,0.79
30.55671262741089,-0.76,1.28,9.47,-0.63,0.00,-0.06,16.19,-10.56,-35.56,-0.61,-0.07,0.03,0.79
30.87777328491211,-0.77,1.26,9.47,0.13,0.06,0.13,16.56,-9.50,-34.00,-0.61,-0.07,0.03,0.79
31.20570468902588,-0.77,1.27,9.42,0.75,0.19,0.00,16.56,-10.25,-34.75,-0.61,-0.07,0.03,0.79
31.52938413619995,-0.76,1.31,9.46,0.13,-0.19,-0.06,16.56,-9.88,-35.19,-0.61,-0.08,0.03,0.79
31.855737447738647,-0.76,1.29,9.42,-0.44,0.06,0.00,16.56,-10.25,-34.69,-0.61,-0.08,0.03,0.79
32.18078327178955,-0.77,1.26,9.46,-0.19,0.13,-0.19,16.19,-9.88,-35.88,-0.61,-0.08,0.03,0.79
32.507044553756714,-0.77,1.27,9.47,0.69,0.31,0.00,16.56,-10.25,-34.38,-0.61,-0.08,0.03,0.79
32.8329644203186,-0.77,1.26,9.44,0.50,0.06,0.06,17.00,-10.25,-34.38,-0.61,-0.08,0.03,0.79
33.159056186676025,-0.77,1.30,9.46,-0.31,0.06,0.00,16.19,-10.56,-34.75,-0.61,-0.08,0.03,0.79
33.48426413536072,-0.75,1.25,9.44,-0.13,0.19,-0.06,17.00,-10.25,-35.88,-0.61,-0.08,0.03,0.79
33.81020545959473,-0.78,1.24,9.46,0.25,0.00,0.25,16.19,-11.38,-34.38,-0.61,-0.08,0.03,0.79
34.135345458984375,-0.77,1.29,9.48,0.69,0.00,0.06,16.19,-10.25,-34.69,-0.61,-0.08,0.03,0.79
34.463152170181274,-0.79,1.29,9.45,-0.19,-0.06,-0.13,15.75,-10.56,-34.00,-0.61,-0.08,0.03,0.79
34.787976026535034,-0.78,1.27,9.46,-0.69,-0.13,-0.06,17.00,-9.50,-34.00,-0.61,-0.08,0.03,0.79
35.11627721786499,-0.78,1.25,9.46,0.00,0.19,0.06,16.56,-9.50,-34.69,-0.61,-0.08,0.03,0.79
35.438658475875854,-0.78,1.25,9.48,0.63,0.06,0.00,16.56,-10.56,-35.19,-0.61,-0.08,0.03,0.79
35.765482664108276,-0.79,1.29,9.44,0.25,0.00,0.00,16.19,-9.88,-35.88,-0.61,-0.08,0.03,0.79
36.096582889556885,-0.77,1.28,9.44,-0.88,-0.31,-0.13,16.19,-11.00,-34.69,-0.61,-0.08,0.03,0.79
36.41720008850098,-0.77,1.26,9.46,-0.38,-0.06,0.00,16.19,-10.56,-34.00,-0.61,-0.08,0.03,0.79
36.74147820472717,-0.76,1.27,9.46,0.25,0.31,0.06,17.25,-9.88,-34.69,-0.61,-0.08,0.03,0.79
37.07145571708679,-0.78,1.28,9.45,0.06,-0.06,-0.06,17.00,-10.56,-34.38,-0.61,-0.08,0.03,0.79
37.39413666725159,-0.76,1.29,9.47,-0.50,0.13,0.00,16.19,-11.00,-34.38,-0.61,-0.08,0.03,0.79
37.72127175331116,-0.77,1.27,9.48,-0.63,0.13,-0.06,16.19,-10.25,-34.38,-0.61,-0.07,0.03,0.79
38.04712915420532,-0.77,1.25,9.47,0.25,0.13,-0.06,16.19,-10.56,-35.06,-0.61,-0.07,0.03,0.79
38.37289643287659,-0.77,1.28,9.45,0.44,0.13,-0.06,16.19,-10.25,-33.56,-0.61,-0.07,0.03,0.79
38.697465658187866,-0.78,1.31,9.46,-0.19,-0.06,0.06,16.56,-10.25,-34.38,-0.61,-0.07,0.03,0.79
39.02484345436096,-0.79,1.27,9.48,-0.63,-0.06,-0.19,17.25,-11.00,-35.56,-0.61,-0.07,0.03,0.79
39.35042428970337,-0.79,1.26,9.46,0.19,0.06,0.00,17.00,-10.25,-34.69,-0.61,-0.07,0.03,0.79
39.676156520843506,-0.77,1.28,9.45,0.75,0.44,0.06,15.50,-10.56,-35.06,-0.61,-0.08,0.03,0.79
40.000744104385376,-0.79,1.29,9.46,0.19,-0.13,-0.06,17.25,-10.25,-34.00,-0.61,-0.08,0.03,0.79
40.32735753059387,-0.76,1.27,9.47,-0.19,0.06,0.00,16.56,-10.56,-34.69,-0.61,-0.08,0.03,0.79
40.65264701843262,-0.77,1.27,9.46,-0.19,0.19,-0.25,16.56,-10.56,-34.69,-0.61,-0.08,0.03,0.79
40.97922205924988,-0.78,1.26,9.47,0.63,0.00,0.06,16.56,-11.00,-34.69,-0.61,-0.08,0.03,0.79
41.303847551345825,-0.75,1.28,9.46,0.75,-0.13,0.13,15.75,-10.56,-34.38,-0.61,-0.08,0.03,0.79
41.6306529045105,-0.76,1.29,9.45,-0.44,0.06,0.00,16.19,-9.88,-34.38,-0.61,-0.08,0.03,0.79
41.95553731918335,-0.77,1.28,9.45,-0.19,-0.06,0.06,16.56,-10.25,-33.56,-0.61,-0.08,0.03,0.79
42.28195548057556,-0.77,1.24,9.48,0.38,0.25,0.19,17.00,-9.88,-34.69,-0.61,-0.08,0.03,0.79
42.60668897628784,-0.76,1.29,9.46,0.56,0.00,0.06,16.56,-9.88,-34.38,-0.61,-0.08,0.03,0.79
42.93893623352051,-0.77,1.27,9.45,-0.25,-0.31,0.06,16.19,-10.25,-33.19,-0.61,-0.08,0.03,0.79
43.2590651512146,-0.77,1.27,9.47,-0.75,0.00,0.00,16.19,-10.56,-34.00,-0.61,-0.08,0.03,0.79
43.58580040931702,-0.78,1.25,9.44,0.00,-0.06,-0.06,15.50,-9.88,-34.69,-0.61,-0.08,0.03,0.79
43.910791635513306,-0.76,1.26,9.45,0.38,0.06,0.06,16.19,-10.25,-34.00,-0.61,-0.08,0.03,0.79
44.237967014312744,-0.77,1.29,9.46,0.00,-0.06,0.06,15.75,-10.56,-32.75,-0.61,-0.08,0.03,0.79
44.56275534629822,-0.77,1.27,9.44,-0.94,0.00,0.00,15.75,-9.88,-34.38,-0.61,-0.08,0.03,0.79
44.889251470565796,-0.78,1.26,9.46,-0.31,0.13,-0.19,16.56,-9.50,-34.69,-0.61,-0.07,0.03,0.79
45.21369290351868,-0.78,1.27,9.48,0.38,0.13,0.00,16.56,-10.25,-34.00,-0.61,-0.07,0.03,0.79
45.540579080581665,-0.78,1.29,9.45,0.13,0.06,0.00,16.19,-10.56,-35.56,-0.61,-0.07,0.03,0.79
45.865307092666626,-0.77,1.29,9.43,-0.44,0.00,0.00,15.75,-10.25,-35.19,-0.61,-0.07,0.03,0.79
46.19367337226868,-0.77,1.26,9.44,-0.56,0.25,0.06,15.75,-10.25,-34.00,-0.61,-0.07,0.03,0.79
46.51736879348755,-0.79,1.28,9.45,0.25,0.00,0.25,16.56,-10.56,-34.69,-0.61,-0.07,0.03,0.79
46.844597816467285,-0.78,1.26,9.46,0.50,0.00,0.00,15.50,-10.56,-34.00,-0.61,-0.08,0.03,0.79
47.17432498931885,-0.81,1.30,9.45,-0.06,-0.06,0.00,15.50,-11.00,-34.69,-0.61,-0.08,0.03,0.79
47.49624586105347,-0.78,1.29,9.42,-0.44,-0.25,-0.06,17.00,-10.25,-35.56,-0.61,-0.08,0.03,0.79
47.820679664611816,-0.79,1.26,9.45,0.13,0.06,0.13,15.75,-9.88,-35.06,-0.61,-0.08,0.03,0.79
48.15044355392456,-0.77,1.26,9.47,0.75,0.19,0.06,15.75,-11.00,-35.56,-0.61,-0.08,0.03,0.79
48.47301483154297,-0.78,1.29,9.47,0.25,-0.06,0.00,16.19,-10.56,-35.88,-0.61,-0.08,0.03,0.79
48.800605058670044,-0.78,1.27,9.48,-0.38,-0.06,-0.06,15.75,-10.56,-34.38,-0.61,-0.08,0.03,0.79
49.12443256378174,-0.77,1.26,9.44,0.00,0.13,-0.06,15.75,-10.25,-34.00,-0.61,-0.08,0.03,0.79
49.451486349105835,-0.77,1.27,9.45,0.44,-0.13,-0.06,15.75,-10.25,-34.38,-0.61,-0.08,0.03,0.79
49.77678203582764,-0.78,1.28,9.45,0.44,-0.25,0.06,16.56,-11.00,-34.38,-0.61,-0.08,0.03,0.79
50.10597252845764,-0.78,1.28,9.45,-0.50,0.06,-0.06,16.19,-10.25,-33.56,-0.61,-0.08,0.03,0.79
50.42772603034973,-0.77,1.24,9.47,-0.25,0.00,0.13,15.75,-9.88,-34.69,-0.61,-0.08,0.03,0.79
50.75429320335388,-0.77,1.25,9.46,0.31,0.00,0.13,15.75,-10.56,-35.56,-0.61,-0.08,0.03,0.79
51.0787353515625,-0.76,1.28,9.46,0.44,0.00,0.00,15.75,-10.56,-33.56,-0.61,-0.08,0.03,0.79
51.40615153312683,-0.78,1.29,9.44,-0.38,-0.19,0.00,15.75,-10.25,-35.06,-0.61,-0.08,0.03,0.79
51.7310094833374,-0.76,1.27,9.44,-0.88,-0.13,0.06,16.19,-10.25,-34.38,-0.61,-0.08,0.03,0.79
